,product_details,variatal,size,region,vintage,standard_drinks,alcohol_volumne,country,brand,closure,style
83,"The process of Scotland's slowest distillation can be tasted in every dram of this Cask Strength Single Malt by Glengoyne. Hand-crafted from inception to glass, this single malt also shows the dramatic effect of warm air drying of the barley rather that using peat smoke. Bottled at the higher ABV, the balance between the subtle flavours imparted from the slow distillation and the power of the un-chillfiltered single malt imparts flavours of digestive biscuits, ripe bananas and a hint of pepper. Robust and full-bodied, this is a whisky of the utmost strength that should be enjoyed with some pure distilled water to your taste.",Scotch Whisky,700mL,Highland,32.6,59%,Scotland,Glengoyne,Single Malt,no_information,no_information
84,"Each release of Bruichladdich's Octomore is a powerful illustration of the art of the master distiller with each bottling necessarily unique, limited and never to be reproduced. For Octomore 7.1, the barley was harvested from mainland Scotland and peated to a heavy 208ppm. The whisky then spends five years in American oak and bottled at 59.5%. The palate flows through smoothness, sweetness and then smoke. The American oak influence is in perfect tune with the smoke and soft fruits delicately, skilfully coaxed from the still during exceptionally slow distillation. As the sweetness from the oak fades the salt comes to the fore front one last time while the gentle peat smoke steady and true grows and outlasts all else.",Scotch Whisky,700mL,Islay,32.9,59.50%,Scotland,5 Year Old,Bruichladdich,Cork,Single Malt
85,"Triple distilled and matured solely in American bourbon casks, Auchentoshan American Oak is a whisky that demands your attention. Bright gold in appearance, with bourbon vanilla, coconut and layers of zesty fruit on the nose. From that first sip, you’ll experience a refreshingly smooth and lively mix of vanilla cream, white peach and tropical coconut. Towards the finish, flavours become crisp with sugared grapefruit and a hint of allspice.",Scotch Whisky,700mL,Lowland,23.7,40.00%,Scotland,Auchentoshan,Screw Cap,Single Malt,no_information
86,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information
87,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information
88,"Mixed citrus fruits, apple, pear drops and the merest hint of tropical fruits. In the mouth sweetness dominates then moves over a little to allow some refreshing bitterness to emerge while the mixed fruits continue to dominate the flavour.",Whisky,700mL,22.6,41.00%,Wales,Penderyn,Cork,Single Malt,no_information,no_information
89,"This Single Malt Scotch Whisky has been crafted by master distiller Jim McEwan from individually selected casks to showcase the classic, floral and elegant Bruichladdich house style.",Scotch Whisky,700mL,Islay,27.6,50.00%,Scotland,Bruichladdich,Cork,Single Malt,no_information
90,"This 30 year old Glenfarclas Single Malt has been matured in some the best oak casks available to Glenfarclas. Produced in the heart of Speyside, Whiskies from this area are generally known for their elegance and complexity. Dark amber-gold colour leads to the rich, intense combination of sherried fruit, Christmas spices, peat smoke and dark chocolate. The warm and rich flavours  gradually melt into a lingering fruit and nut chocolate feel on the palate. The finish is  long lasting and velvety smooth.",Scotch Whisky,700mL,Speyside,24,43.00%,Scotland,30 Year Old,Glenfarclas,Cork,Single Malt
91,"By mellowing just that little bit longer in old Sherry casks, Highland Park is a unique and smooth Scotch. Rich toffee sweetness is the backbone to this floral, smokey delight.",Scotch Whisky,700mL,Highland,24,43.00%,Scotland,18 Year Old,Highland Park,Single Malt,no_information
92,"Deep, golden mahogany in colour, Dalmore has a fantastic nose of orange, marmalade and aromatic spice. Elegant and rich on the palate with concentrated citrus, oloroso Sherry with hints of sweet vanilla pod. An amazing and lingering finish.",Scotch Whisky,700mL,Highland,22,40.00%,Scotland,12 Year Old,The Dalmore,Cork,Single Malt
93,"The Isle of Skye, a rugged and storm ravaged island on Scotland's northwest coast, is home to a solitary distillery, the famous Talisker. Famous for their 21 underground springs that rise from Hawk Hill, Talisker produce a Scotch Whisky of immense character and renowned smoothness. The 30 Year Old has been painstaking matured at Talisker to produce an elegant malt that shows a nose that is quite reserved with some nice fruit acidity from red apple skins and dried fruits. Sweeter notes toffee and caramel follow. The famous sooty smoke is discernable on the close. On the palate, this rare whisky displays subtle berry flavours and a hint of dried fruit.",Scotch Whisky,700mL,The Isles - Isle of Skye,25.3,45.80%,Scotland,30 Year Old,Talisker,Cork,Single Malt
94,"Longmorn is considered to be the best kept Scotch Whisky secret by all. A pinnacle 16 year old single malt whisky that showcases the very best of this traditional Speyside malt, Longmorn has been producing whiskies for some of the most recognisable whisky names for centuries. Some even consider Longmorn to be the 'holy grail' of malts. Showing a nose of dusty spice, mocha and dried honey, the Longmorn 16 Year Old follows up on the palate with rich notes of toffee, cinnamon and nutmeg. The finish is long and pure and is best served neat or with a dash of pure still water.",Scotch Whisky,700mL,Speyside,26.5,48%,Scotland,16 Year Old,Longmorn,Screw Cap,Single Malt
95,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information
96,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information
97,no_information,no_information,700mL,Western Australia,23.7,43.00%,Australia,Western Australia,Limeburners,Single Malt,no_information
98,"The Balvenie 'Thirty' is a rare and fine single malt scotch that has been crafted from specially selected barrels by Malt Master, David Stewart. By marrying Balvenie, slowly aged in traditional oak whisky casks with European oak sherry casks, David Stewart creates a rich, silky smooth honeyed Scotch whisky. The nose has mellow oaky tones and hints of candied orange peel giving a taste of great depth with rich dark chocolate, hints of plum, marzipan and caramelised pear. 'Thirty' is bottled at 47.3% ABV to capture all the signature characteristics of The Balvenie.",Scotch Whisky,700mL,Speyside,26,47.30%,Scotland,30 Year Old,The Balvenie,Cork,Single Malt
99,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information
100,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information
101,"Fresh, sweetly fruity and smooth-bodied, Caol Ila 12 YO Single Malt Scotch Whisky delicately balances a range of tastes. The clean, appetising nose shows subtle citrus fruit with just a puff of smoke. Firm and smooth, it begins sweetly then yields a fragrant smokiness and a sweet-smoky, lingering finish.",Scotch Whisky,700mL,Islay,23.7,43.00%,Scotland,12 Year Old,Caol Ila,Cork,Single Malt
102,"We would like to introduce the most important release in the history of The GlenAllachie Distillers Company; GlenAllachie 12 year old, the heart of our range, a landmark bottling. Our best casks selected and bottled under the careful eye of our Master Distiller Billy Walker. Flavours of honey, marzipan and bananas, with lashings of butterscotch, raisins and a delicate hint of mocha.",700mL,Speyside,25.4,46%,Scotland,12 Year Old,GlenAllachie,Cork,Single Malt,no_information
103,no_information,Scotch Whisky,700mL,Islay,Bowmore Islay 12 Year Old Single Malt Whisky,22,40.00%,Scotland,12 Year Old,,
104,"Octomore 09.1 questions the fundamentals of superior single malt Scotch. Confident in its five year age statement, our Head Distiller demonstrates how a focus on raw ingredients and considered distillation can definitively debunk the myth that older is better. Distilled in 2012 from 100% Scottish barley, the 09.1 is matured full-term in top-tier ex-American whiskey casks. ",700mL,Islay,32.64,59.1%,Scotland,5 Year Old,Bruichladdich,Cork,Single Malt,no_information
105,no_information,no_information,25.4,46.0%,Ireland,Writers Tears,Single Malt,no_information,no_information,no_information,no_information
106,"A cryptic composition of casks, the legendary Bruichladdich Black Art reaches its sixth edition. This unpeated single malt has undergone a parallel journey with our head distiller, Adam. Having worked closely with these casks in his early days in the warehouses, under the guidance of then Master Distiller Jim McEwan, Adam has had the honour of learning and developing alongside this spirit. The substantial task of hand-selecting and blending our very best spirit now falls to him alone.",Scotch Whisky,700mL,25.9,46.9%,Scotland,26 Year Old,Bruichladdich,Single Malt,no_information,no_information
107,"The Bothy is a limited edition of the Arran Malt which pays homage to the use of small casks which would have played a large part in the Arran whisky trade in the 18th & 19th centuries. Limited Edition of 12,000 Bottles Worldwide. Bottled at Natural Cask Strength 55.7% abv. Matured in First-Fill ex-Bourbon Barrels before being transferred for secondary maturation into smaller casks also made of the finest American oak. Non Chill Filtered & no artificial colouring.",Scotch Whisky,700mL,31.8,55.70%,Scotland,The Arran,Cork,Single Malt,no_information,no_information
108,"You have an opportunity to try all the finest Japanese Single Malts.
The Set includes 1 bottle of each:
- Kura White Oak Japanese Single Malt 8 Years Old 720ml
- Kura White Oak Japanese Single Malt 12 Years Old 720ml
- Kujira Ryukyu Japanese Single Malt Whisky 20 Years Old 700ml",Single Malt,750mL,25.4,43%,Japan,20 Year Old,"Kura, Kujira",Screw Cap,Single Malt,no_information
109,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information
110,"Matured in ex-Apera (Australian sherry-style) casks from South Australia this expression offers an intriguing balance of sweet and spice that takes plenty of influence from its cask. Nant Sherry Cask has rich maple aromas complemented by hints of hazelnuts, almonds and spice. As smooth as it is balanced with a dry oak tone, with hints of orange toffee and heated dried fruits and a medium nut and coffee finish.",Whisky,500mL,24.9,63%,Australia,Tasmania,Nant,Single Malt,no_information,no_information
111,"Matured in American Bourbon oak and finished in Spanish Olorosso and Pedro Ximenez casks. A Lowland Single Malt Whisky rich with dark fruits, thick butterscotch, roasted hazelnuts and the signature smooth delicate Auchentoshan taste.",Scotch Whisky,700mL,Lowland,Auchentoshan Three Wood,23.5,43.00%,Scotland,Auchentoshan,Synthetic Cork,Single Malt
112,"Full bodied, round and rich. At first macerated fruits, marzipan and walnuts; then warm spices, dry cocoa and lingering Seville marmalade. Spicy vanilla fruit, ripe apples and a rich, luxurious mouthfeel. This is the result of eighteen long years and a generous proportion of first-fill sherry casks.",Scotch Whisky,700mL,Highland,23.7,43.00%,Scotland,18 Year Old,Glengoyne,Single Malt,no_information
113,"Utilising centuries of knowledge and tradition, yet not restricted by it, Starward is the brainchild of David Vitale who set out to harness the very best of Australia's barley, barrels and climate to create the ultimate new world whisky. Years of experimentation, adjustment, trial and even more adjustment has created Starward, a whisky that will challenge your perceptions of what Whisky can be. Artisan Victorian barley is sourced to begin the bespoke process which ends up in aged Australian Apera casks that have been re-coopered, re-toasted and re-sized. All of which help create a Whisky of smoothness, sweetness and unparalleled complexity.",Australian Whisky,700mL,23.7,43.0%,Australia,Victoria,Starward,Cork,Single Malt,no_information
114,no_information,no_information,700mL,Speyside,26.1,47.20%,Scotland,Glen Moray,Cork,Single Malt,no_information
115,no_information,no_information,no_information,no_information,no_information,46.00%,Scotland,13 Year Old,Craigellachie,Cork,Single Malt
116,"Inspired by the ancient Irish distilling traditions, Connemara is a Peated Single Malt Whiskey which is smooth in the traditional Irish style but more complex with the distinct peaty taste of an Islay whiskey.",Irish Whiskey,700mL,22.1,40.00%,Ireland,Connemara,Cork,Single Malt,no_information,no_information
117,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information
118,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information
119,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information
120,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information
121,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information
122,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information
123,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information
124,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information
125,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information
126,"Ledaig is a wonderfully distinguished single malt handcrafted on the Isle of Mull by the Tobermory Distillery. The only distillery on the island, Tobermory produces its only peated malt in this Ledaig 10 Year Old Single Malt. Sitting in the ancient vaults for 10 years and the use of superior oak wood casks, aromatic lochan water and the exclusively peat dried malted barley all go to producing a whisky of purity, power and vibrancy. The flavours and aromatics produced can't help but bring you to the ocean side on the Isle of Mull with their floral and smoky tones. Non-chill filtered at 46.3%, Ledaig 10 Year Old will delight all true whisky drinkers.",Scotch Whisky,700mL,Highland,25.6,46.30%,Scotland,10 Year Old,Ledaig,Screw Cap,Single Malt
127,"The Soleo Collection is a new range with clear story and navigation, moving away from vintages and focusing on age statements. All expressions are matured in 100% sherry seasoned casks, for a rich sensorial experience. No allocation constraints. The Glenrothes 12 years old is the classic house style of The Glenrothes – fruity and sweet. The Glenrothes 12 years old was awarded a score of 93 at the Ultimate Spirits ",700mL,Speyside,22.1,40%,Scotland,12 Year Old,The Glenrothes,Stopper,Single Malt,no_information
128,"To add a unique depth of character and flavour, Teeling Single Malt consists of aged malt whiskey up to 23 years old that has been matured in five different wine casks including Sherry, Port, Madeira, White Burgundy and Cabernet Sauvignon. This combination of cask maturation techniques has never been done before in Irish whiskey and creates a truly innovative Irish whiskey bursting with personality. Like all the Teeling Whiskeys, it's bottled at 46% with no chill filtration, allowing for all the natural flavours of the Whiskey to be retained.",Irish Whiskey,700mL,25.4,46.00%,Ireland,Teeling,Cork,Single Malt,no_information,no_information
129,"Stiùireadair (pronounced ‘stew-rahdur’) means ‘helmsman’ in Scots Gaelic. This single malt is complex with a rich sherry influence and aromas of fruit, nuts and spice.",Whisky,700mL,Islay,25.6,46.3%,Scotland,Bunnahabhain,Screw Cap,Single Malt,no_information
130,"With less than 3,500 bottles produced for each edition, this special malt is destined to be snapped up by all the true Scotch Whisky aficionados. Each bottle of Glen Moray's 25 Year Old Port Cask Finish is hand signed by master distiller Graham Coull and features the year it was distilled in. This exceptional 25 Year Old spent the last part of its maturation in authentic Port casks from Portugal resulting is a malt with a nose that is sweet, rich and complex. The palate follows with notes of toffee apple sweetness and rush of spice on the finish.",Scotch Whisky,700mL,Speyside,23.7,43.00%,Scotland,25 Year Old,Glen Moray,Cork,Single Malt
131,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information
132,"By a dozen years this the oldest bottling ever to come from the original distillers. The whisky is an outstanding and unusually fragrant example of this robust classic that has an unexpected spicy complexity: beautifully balanced, structured and focused, both at cask strength and when smoothed out with water, it's precise, with a clean, well-shaped nose, and is delightfully rich yet also drying in palate and finish.",Scotch Whisky,700mL,Highland,28.1,50.90%,Scotland,34 Year Old,Dailuaine,Cork,Single Malt
133,"Bottled at 43% vol, the BenRiach 10 Years Old is Classic Speyside in character. This fresh, lively, fruit-laden single malt captures Warm Oak Spices, Green Apple, Dried Apricots, Peach and Banana with subtle touches of Aniseed, Lemon Zest and Barley. Warm toasted oak spices flood through green apple skins and dried apricots, ripening to hints of peach and soft banana. Subtle touches of aniseed and lemon zest create a contrasting edge to the fruit and add an intriguing character to the long, crisp barley finish.",Whisky,700mL,Speyside,23.8,43%,Scotland,10 Year Old,The BenRiach,Cork,Single Malt
134,no_information,no_information,no_information,no_information,27.6,50.00%,Scotland,Bruichladdich,Cork,Single Malt,no_information
135,no_information,no_information,no_information,no_information,no_information,no_information,Scotland,25 Year Old,Laphroaig,Cork,Single Malt
136,no_information,no_information,no_information,no_information,25.4,46.00%,Scotland,Kilchoman,Cork,Single Malt,no_information
137,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information
138,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information
139,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information
140,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information
141,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information
142,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information
143,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information,Glengoyne,Cork,Single Malt
144,no_information,no_information,no_information,Speyside,23.7,43.00%,Scotland,Benromach,Cork,Single Malt,no_information
145,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information
146,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information
147,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information
148,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information
149,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information
150,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information
151,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information
152,"It is Bladnoch's 200 Year Anniversary, celebrate with them by enjoying a drop of one of their three magical Single Malts. Award winning Master Distiller Ian MacMillan hand selects every cask to bring together this spicy yet silky expression. Elegant, mature sweet oaky notes and a hint of citrus to finish. This release is bottled at natural cask strength and colour, and coarsely filtered. There’s nothing added or removed, so you can enjoy this whisky as you would straight from the cask.",Scotch Whisky,700mL,Lowland,27.2,49.20%,Scotland,Bladnoch,Cork,Single Malt,no_information
153,"Ardbeg Corryvreckan Islay Single Malt Scotch Whisky is a very limited special release from the Ardbeg distillery which will slowly entrap you in a whirlpool of aromas and flavours all contained within this turbulent force of a 700mL bottle. Named after the famous Corryvreckan Whirlpool that lies off the Islay north coast where only the bravest of souls dare venture, the Ardbeg Corryvreckan has swirling aromas and torrents of deep, peaty, peppery taste that lurk beneath the surface of this beautifully balanced dram. Only available for a very limited time - a must for all Islay lovers. Cauldron of the speckled seas.",Scotch Whisky,700mL,Islay,31.5,57.10%,Scotland,Ardbeg,Cork,Single Malt,no_information
154,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information
155,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information,Cork,Single Malt,no_information
156,no_information,no_information,no_information,no_information,no_information,24,43.00%,Scotland,12 Year Old,Glenkinchie,Single Malt
157,"The Singleton of Dufftown was built during the reign of Queen Victoria. The Singleton 12 Year Old Scotch Whisky is a vibrant, smooth and a naturally rich Single Malt Scotch Whisky. Sweet fruity notes and a lingering, pleasurable warmth, this unique flask-shaped bottle and blue flint colour glass draws its inspiration from the 19th century, when flask-shaped bottles were customary for easier transportation and less breakages, particularly when travelling on horseback.",Scotch Whisky,700mL,Speyside,22,40.00%,Scotland,The Singleton,Cork,Single Malt,Scotch Whisky
158,no_information,Scotch Whisky,700mL,Lowland,Auchentoshan 12 Year Old,22,40.00%,Scotland,Auchentoshan,Single Malt,no_information
159,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information
160,"On the Eye:  Deep brass / gold On the Nose: Notes of choc-chip cookie, orange marmalade and clove. On the Palate: Spicy dried fruits (raisin and date) The Finish: Hints of plum, sultana and cocoa",700mL,23.7,43%,Australia,Tasmania,Overeem,Cork,Single Malt,no_information,no_information
161,"Pour yourself a dram of the fantastic Benromach 15 Years Old! Golden amber in colour thanks to the long maturation in sherry and bourbon casks. Beautifully balanced sherry aromas with vanilla pod, zesty orange and spicy ginger complemented by delicate chamomile and menthol notes. Rich fruit cake with stewed plum, red apple skin and the sharp edge of kiwi fruit.",700mL,Speyside,23.8,43%,Scotland,15 Year Old,Benromach,Stopper,Single Malt,no_information
162,no_information,no_information,no_information,11,40.00%,New Zealand,25 Year Old,The New Zealand,Cork,Single Malt,no_information
163,"This Speyside whisky, Allt á Bhainne (pronounced Alt-a-Bane) is actually a component of the Chivas Regal blend. With a dark straw colour this whisky has a fresh and fruity nose with hints of green apple and pear. The palate is initially peppery with a sweet citrus edge followed by hints of melon and grapefruit. This is a delicate, light and subtle whisky with a long smooth finish.",Scotch Whisky,700mL,Speyside,25.4,46.00%,Scotland,Gordon & Macphail,Cork,Single Malt,no_information
164,"One by one, The Last Great Malts of Scotland will leave their distillery gates. From Scotland's 'Bermuda Triangle' comes a mysterious and rare Single Malt, for over a century only sold in limited quantities to collectors. Bottled to celebrate the brightness of the barley and crystal clarity of the wood sugar, balanced with grassy, herbal notes. Delicately aged for 12 years. The smoothest example on Speyside, this classic, fruity style with no peat smoke has been distilled since 1897, yet only tasted by a few.",Scotch Whisky,700mL,Speyside,27.2,46.00%,Scotland,12 Year Old,Aultmore,Single Malt,no_information
165,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information
166,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information
167,"The first of thirteen annual releases in this series to combine refill and rejuvenated American oak hogsheads and ex-bodega European oak
butts. An exceptionally grown up whisky with a powerful and persuasive flavour profile that could only be a Caol Ila. Established in 1846, Caol Ila is hidden away in a tiny bay near Port Askaig on the Sound of Islay (in Gaelic, Caol Ila). A nearby water supply was one reason for the remote site; a waterfall even supplied power for the barley hoists and pressure for the fire hydrants. Until the early 1960s casks left Caol Ila and supplies arrived by sea. Rebuilt as a new distillery and significantly extended to six stills in 1972, Caol Ila became the largest distillery on Islay yet its single malts remained almost unknown until 2002, when an award-winning range was
introduced. This is in many ways a connoisseur’s Islay malt; despite being less well known than their southern siblings, its whiskies are every bit as capable of fine complexity, balanced and distinctive in fresh aromas and taste, with great character and depth at any age.",Single Malt Scotch Whisky,700,Islay,32.63,59.1,Scotland,15 Year Old,Caol Ila,cork,Single Malt
168,"Second fill American oak, ex-bourbon casks, followed by a period of further maturation in first fill Spanish oak, ex-Oloroso casks. Intense and balanced. Bursting with rich dried fruit, ripe apples and citrus, with honey sweetness and a generous chord of creamy vanilla. Slightly chocolaty and floral in the background. Fragrant spices and Christmas cake, with layers of chocolate and a distinct dark toffee sweetness. There is a hint of sea air on the finish, a clear connection to Old Pulteney’s coastal home.",700mL,25.4,46%,Scotland,15 Year Old,Old Pulteney,Cork,Single Malt,no_information,no_information
169,no_information,no_information,no_information,Highland,25.4,46.00%,Scotland,Berry Brothers & Rudd,Cork,Single Malt,no_information
170,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information
171,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information
172,no_information,no_information,no_information,25.4,46.00%,Scotland,Kilkerran,Cork,Single Malt,no_information,no_information
173,no_information,no_information,no_information,57.1%,India,Amrut,Single Malt,no_information,no_information,no_information,no_information
174,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information
175,"Hellyers Road Distillery, situated on the picturesque northern Tasmanian coast line, was established in 1997 and is Australia's largest distiller of Australian single malt whisky. Named after Henry Hellyer who was one of the first explorers to set foot in the interior north of the then Van Dieman's Land. This 10 Year Old single malt whisky is Hellyers flagship product and is distilled from Tasmanian grown malted barley, pure rainwater and yeast. American White Oak barrels are used to mature this bespoke malt that delivers a smooth and balanced taste.",Australian Whisky,700mL,25.4,46.00%,Australia,Tasmania,10 Year Old,Hellyers Road,Screw Cap,Single Malt
176,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information
177,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information
178,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information
179,The Bladnoch Samsara is a tribute to the rebirth of their 200 year old distillery. Bladnoch's award winning Master Distiller Ian Macmillan hand selects every cask to bring together this luscious Single Malt – full bodied and fragrant with a rich core and lingering tail. A tribute to the rebirth of their 200 year old distillery. Bladnoch's award winning Master Distiller Ian Macmillan hand selects every cask to bring together this luscious Single Malt – full bodied and fragrant with a rich core and lingering tail.,Scotch Whisky,700mL,Lowland,25.8,46.70%,Scotland,Bladnoch,Cork,Single Malt,no_information
180,"Full-bodied Lagavulin is richly peated, smoky and intense on the palate.  Mightiest of the Islay malts in style, it has a salty edge of sea-spray.

A limited relase made usually just once a year, the distillers edition of Lagavulin enjoys both rarity and superior quality.
The packaging carries the symbol of the distillery and the proud name of Mackie & Son, who brought the distillery to fame.  Each bottle carries a batch number which designates the selected casks specially crafted for double maturation.

This is an unforgettable, richly flavoured malt whisky with intense layers of raisin sweetness and smoky flavour.

Distilled 2002.  Bottled 2018.",Whisky,1L,34,43%,Scotland,Lagavulin,Single Malt,no_information,no_information,no_information
181,"The Master’s Collection Select American Oak Kentucky Bourbon has been matured in one specific terroir sourced oak – Ozark. This Ozark Oak was selected for its terroir’s fast-growing characteristics. Having barrels that share a common wood structure gives this special batching of Woodford Reserve a distinct nutty and sweet aromatic character that will remind you of warm baked goods.

Color
Peruvian brown AROMA: Crisp yeasty and bready notes mingle with soft oak, vanilla, milk chocolate and marzipan. Walnut, pecans and Fall leaves bring the oak tannins forward. 
Flavor
Soft nutty character and a sip of sweet tea bring a deep hint of peach and cocoa powder to life. 
Finish
Long and warm with a hint of wood spice.",North American Whiskey,700mL,Approx 25 Standard Drinks,45.2%,Scotland,Woodford Reserve,Cork,Single Malt,no_information,no_information
182,Single cask malt whisky from Overeem in Tasmania aged in a French Oak Sherry quarter cask. This smaller cask leads to greater interaction between wood and liquid during maturation and results in a more intense whisky.,700mL,23.8,43%,Australia,Tasmania,Overeem,Stopper,Single Malt,no_information,no_information
183,"Westward Whiskey is the highest rated American Single Malt, a whiskey of Northwest provenance. Our whiskey is distinct, brazen, rich in character, and full of flavor. The unique mingle of a handful of single barrels, each contribute a particular note that can be spicy, earthy, floral, herbal, fruity, or sweet.",American Whiskey,700mL,25,45%,USA,Westward,Cork,Single Malt,no_information,no_information
184,no_information,no_information,700mL,Speyside,33,60.00%,Scotland,10 Year Old,Glenfarclas,Single Malt,no_information
185,"‘The RHEBAN’
The name of our Cask Strength release is derived from the majestic 1500 acre sheep station just south of the distillery. Rheban overlooks Maria Island and a beach of the same name.  The beach is one of our favourite places being both untamed and seductive. We hope you enjoy The Rheban and find it as seductive as the wild place from which it takes its name.

Whisky: ‘The RHEBAN’ Cask Strength ex Port Cask
ABV: 58%
Tasting notes courtesy of Mark Nicholson
Colour: Rose gold
Nose: A big porty welcome announces this as a quality port cask dram.  Sweet and complex aromas suggest butterscotch and Christmas muscatels.
Palate: Sweet caramel syrup and plum pudding spices join a clean, bright alcohol explosion which spreads across the palate to settle in and glow with some soft oaky tannins.
Finish: Hints of cherry cordial and some nutty undertones as this big porty beauty lingers on the back palate. Clearly displays the quality of both the spirit and the wood in developing harmony.",Port Cask Matured,700mL,East Coast Tasmania,32,46%,Australia,Tasmania,Spring Bay Distiller,Cork,Single Malt
186,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information
187,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information
188,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information
189,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information
190,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information
191,"Unpeated. Min 5 years maturation, ex bourbon cask. A honey like smoothness is offset by a crunchy crispness with a tinge of cocoa. Demerara sugars give a whiff of sweet cinnamon, honey and faint spice.",Whisky,700mL,25,46%,India,Paul John Sgl Malt,Dried Fruits,Cork,Single Malt,no_information
192,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information
193,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information
194,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information
195,"Port Askaig Islay 100° Proof Single Malt is a cask-strength single malt Islay whisky from Port Askaig. With notes of sweet fruit, peat smoke and minerality, this is a benchmark Islay whisky and a great peaty dram.",Scotch Whisky,700mL,Islay,31.5,57.10%,Scotland,Port Askaig,Single Malt,no_information,no_information
196,"Rounded, biscuity/yeasty tones. Gentle floral notes (carnations & Parma Violets), baking bread, very gentle vanilla, soft raisins and sweet mandarin orange. The taste brings crisp citrus ‘bite’ to the mouthfeel. Butter candy, creamy vanilla, orange syrup with yeasty background. Gentle mint, the tiniest hint of sweet chilli and delicate, dancing floral notes. Allta continues with a long and earthy finish with hints of bitter sweet orange and peppermint.",Scotch Whisky,700mL,28.3,51.2%,Scotland,Glenmorangie,Single Malt,no_information,no_information,no_information
